[0.545, 12.0, 10.0, 0.733];[0.489, 19.0, 10.0, 0.684];[1, 0];
[0.468, 12.667, 7.667, 0.701];[0.45, 12.333, 7.667, 0.775];[1, 0];
[0.437, 13.0, 11.333, 0.817];[0.461, 9.667, 9.667, 0.706];[0, 1];
[0.443, 13.333, 10.0, 0.771];[0.47, 11.667, 9.333, 0.8];[0, 1];
[0.481, 12.667, 7.333, 0.791];[0.473, 12.333, 7.0, 0.781];[1, 0];
[0.515, 18.0, 8.333, 0.712];[0.455, 16.333, 11.333, 0.765];[1, 0];
[0.498, 10.667, 12.333, 0.712];[0.523, 15.0, 8.0, 0.708];[0, 1];
[0.407, 14.667, 9.333, 0.615];[0.453, 11.667, 7.0, 0.82];[1, 0];
[0.443, 13.333, 9.667, 0.623];[0.434, 18.667, 10.333, 0.773];[0, 1];
[0.519, 14.667, 9.333, 0.717];[0.506, 12.0, 9.333, 0.792];[1, 0];
[0.55, 19.0, 6.333, 0.872];[0.444, 17.0, 11.667, 0.687];[1, 0];
[0.451, 18.333, 7.0, 0.802];[0.445, 17.333, 10.333, 0.744];[0, 1];
[0.463, 13.333, 10.333, 0.784];[0.482, 9.333, 6.0, 0.85];[0, 1];
[0.489, 13.0, 11.333, 0.788];[0.505, 14.333, 8.333, 0.953];[1, 0];
[0.482, 12.667, 6.667, 0.72];[0.459, 13.0, 6.333, 0.719];[0, 1];
[0.484, 12.0, 15.0, 0.933];[0.41, 17.0, 8.0, 0.632];[0, 1];
[0.51, 14.333, 10.667, 0.812];[0.412, 14.0, 10.667, 0.753];[0, 1];
[0.433, 11.0, 7.667, 0.772];[0.457, 14.667, 8.333, 0.813];[1, 0];
[0.455, 14.0, 7.0, 0.836];[0.476, 11.667, 8.333, 0.879];[0, 1];
[0.503, 12.667, 6.667, 0.773];[0.424, 10.0, 11.0, 0.816];[1, 0];
[0.436, 17.0, 12.333, 0.742];[0.474, 13.667, 11.0, 0.724];[1, 0];
[0.473, 16.0, 10.0, 0.816];[0.428, 11.333, 10.333, 0.735];[0, 1];
[0.513, 14.667, 7.0, 0.869];[0.421, 15.0, 7.667, 0.768];[1, 0];
[0.464, 19.667, 11.333, 0.767];[0.404, 11.333, 10.667, 0.699];[1, 0];
